frames_Epsilon,AvgRewardEpsilon(10),StdRewardEpsilon(10)
628109,162.49398184705746,132.3324734901697
630922,224.15642036404157,74.05646957223647
634467,247.8706267876923,23.822942334180777
637356,258.8752570839592,26.071935519448264
640345,263.8058015850479,16.062453846504393
643287,257.45692248358387,32.325218886902256
645939,272.97944792515756,18.52776642686378
648735,201.80596485775413,199.8060391147389
651354,214.90737469959117,108.86163543459436
653848,235.1111471885587,70.42313974773106
656255,238.58381033505597,68.96311316552178
659303,243.4264658728086,84.18150660081037
662060,261.9140693213872,17.331850275875876
665462,271.28553348136546,24.260018105975185
668155,209.38950747818612,121.20423010409432
671005,210.07533734014,116.7162869179708
674048,260.4529264638323,15.964902327955901
678008,184.78053953698893,140.0023399362631
680766,240.37413238614553,96.61274944477361
684627,172.96843681036972,138.9938772417789
689142,208.35221400487998,92.66230101068379
693288,218.17679163091603,83.28582882391062
697558,232.12896752534385,64.79410164127998
702412,202.17411542076485,87.80536063832552
706543,215.7846483575713,63.68468136682672
710708,120.36883483491059,202.9724698285109
717624,62.31199843538436,163.29837816925595
723292,154.1906158584461,91.3551046902703
729042,190.02978120078123,64.19155071557005
734784,142.98244076793145,114.94969470290815
740151,164.86438491515776,74.18260896994168
745600,121.51042502556504,230.4321529282117
748866,250.05314844579047,26.137895999010556
752574,257.0441779776834,23.78912664976469
756264,243.32939374667635,29.13212406495299
758896,211.04626395394402,170.87284081718462
761643,256.8666570331648,15.5821629489448
764832,218.8817095576701,113.64319063547228
767202,272.44461515028814,16.468339900766935
770346,272.9255204354112,7.267644499117118
772964,237.3090812148017,78.33704205722435
776683,217.98274224856905,82.9332928587875
780846,223.4868250464161,61.676205189616816
783728,21.571899112129596,290.683338460469
787694,210.73417064749628,123.12470498617066
791012,161.61767037754436,161.44588574757503
795190,221.02017724118906,60.395277832610965
798041,201.66198095608894,76.74376438379319
